customer_id,customer_segment,order_count,total_spent,avg_order_value,last_purchase_date
8700,,1,19.9,19.9,2018-08-23 00:00:00
8976,,1,35.0,35.0,2018-08-24 00:00:00
9763,,1,48.45,48.45,2018-08-25 00:00:00
10044,,1,138.9,138.9,2018-08-25 00:00:00
10053,,1,139.89,139.89,2018-08-26 00:00:00
10324,,1,220.0,220.0,2018-08-26 00:00:00
10334,,1,269.0,269.0,2018-08-24 00:00:00
10438,,1,49.9,49.9,2018-08-23 00:00:00
10470,,1,492.75,492.75,2018-08-25 00:00:00
10635,,1,138.9,138.9,2018-08-24 00:00:00
10807,,1,49.9,49.9,2018-08-27 00:00:00
11118,,1,24.9,24.9,2018-08-25 00:00:00
11199,,1,14.9,14.9,2018-08-28 00:00:00
11307,,1,72.99,72.99,2018-08-25 00:00:00
11497,,1,44.99,44.99,2018-08-25 00:00:00
12227,,1,14.9,14.9,2018-08-25 00:00:00
12433,,1,28.99,28.99,2018-08-23 00:00:00
12754,,1,18.0,18.0,2018-08-27 00:00:00
12763,,1,49.9,49.9,2018-08-23 00:00:00
13160,,1,59.7,59.7,2018-08-26 00:00:00
13468,,1,79.9,79.9,2018-08-26 00:00:00
13590,,1,35.9,35.9,2018-08-26 00:00:00
13874,,1,50.0,50.0,2018-08-24 00:00:00
13891,,1,52.9,52.9,2018-08-24 00:00:00
14062,,1,30.0,30.0,2018-08-26 00:00:00
14098,,1,29.15,29.15,2018-08-24 00:00:00
14267,,1,157.41,157.41,2018-08-23 00:00:00
14427,,1,51.0,17.0,2018-08-27 00:00:00
14477,,1,67.9,67.9,2018-08-26 00:00:00
15495,,1,169.8,84.9,2018-08-28 00:00:00
15801,,1,65.0,65.0,2018-08-24 00:00:00
16184,,1,65.4,32.7,2018-08-23 00:00:00
16186,,1,107.9,107.9,2018-08-23 00:00:00
16234,,1,44.9,44.9,2018-08-23 00:00:00
16428,,1,99.0,99.0,2018-08-25 00:00:00
16483,,1,110.77,110.77,2018-08-27 00:00:00
16492,,1,122.73,122.73,2018-08-23 00:00:00
16661,,1,233.8,116.9,2018-08-25 00:00:00
16817,,1,103.69,25.9225,2018-08-28 00:00:00
16990,,1,548.0,548.0,2018-08-23 00:00:00
17028,,1,712.9,712.9,2018-08-28 00:00:00
17228,,1,180.0,180.0,2018-08-27 00:00:00
17359,,1,169.0,169.0,2018-08-26 00:00:00
17411,,1,585.0,585.0,2018-08-23 00:00:00
17593,,1,79.98,39.99,2018-08-28 00:00:00
18241,,1,55.5,55.5,2018-08-24 00:00:00
18336,,1,19.9,19.9,2018-08-27 00:00:00
18471,,1,243.0,121.5,2018-08-24 00:00:00
18478,,1,27.81,27.81,2018-08-27 00:00:00
18941,,1,319.29,319.29,2018-08-25 00:00:00
19024,,1,149.0,149.0,2018-08-24 00:00:00
19079,,1,110.65,110.65,2018-08-25 00:00:00
19137,,1,44.06,44.06,2018-08-23 00:00:00
19176,,1,55.0,55.0,2018-08-24 00:00:00
19285,,1,68.0,68.0,2018-08-25 00:00:00
19364,,1,57.9,57.9,2018-08-27 00:00:00
19600,,1,19.0,19.0,2018-08-24 00:00:00
19784,,1,169.0,169.0,2018-08-28 00:00:00
19790,,1,28.82,28.82,2018-08-24 00:00:00
20024,,1,26.88,26.88,2018-08-27 00:00:00
20163,,1,79.0,79.0,2018-08-24 00:00:00
20229,,1,44.9,44.9,2018-08-24 00:00:00
20641,,1,19.9,19.9,2018-08-27 00:00:00
20891,,1,69.0,69.0,2018-08-23 00:00:00
21072,,1,59.0,59.0,2018-08-23 00:00:00
21704,,1,79.0,79.0,2018-08-23 00:00:00
21986,,1,128.0,128.0,2018-08-23 00:00:00
22394,,1,106.9,106.9,2018-08-27 00:00:00
22695,,1,125.0,125.0,2018-08-25 00:00:00
22828,,1,289.0,289.0,2018-08-24 00:00:00
22844,,1,99.9,99.9,2018-08-24 00:00:00
22897,,1,97.5,97.5,2018-08-27 00:00:00
23061,,1,89.9,89.9,2018-08-27 00:00:00
23223,,1,299.0,299.0,2018-08-26 00:00:00
23516,,1,49.9,49.9,2018-08-27 00:00:00
23519,,1,10.0,10.0,2018-08-25 00:00:00
23918,,1,299.9,299.9,2018-08-23 00:00:00
24104,,1,98.0,98.0,2018-08-23 00:00:00
24114,,1,109.0,109.0,2018-08-25 00:00:00
24357,,1,49.5,49.5,2018-08-23 00:00:00
24459,,1,249.9,249.9,2018-08-28 00:00:00
24643,,1,12.99,12.99,2018-08-26 00:00:00
24768,,1,51.9,51.9,2018-08-24 00:00:00
25463,,1,55.55,55.55,2018-08-27 00:00:00
25941,,1,171.8,85.9,2018-08-28 00:00:00
26000,,1,389.5,389.5,2018-08-25 00:00:00
26794,,1,49.0,49.0,2018-08-27 00:00:00
26862,,1,179.0,179.0,2018-08-24 00:00:00
27011,,1,59.0,59.0,2018-08-26 00:00:00
